Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
26,QB,2,2,6,13,0,2,5,2.2,6.5,4
27,WR,16,2,6,39,0,2,29,6.5,2.4,2
24,RB,3,0,6,20,0,1,10,3.3,6.7,0
26,FB,17,14,6,8,1,5,2,1.3,0.5,0
23,RB,1,0,6,30,0,3,14,5,30,0
22,WR,8,8,6,-5,0,1,9,-0.8,-0.6,0
26,QB,4,2,6,7,0,2,6,1.2,1.8,4
26,WR,16,16,6,54,0,2,41,9,3.4,1
27,QB,6,5,6,39,0,3,20,6.5,6.5,0
27,QB,1,1,6,41,1,2,14,6.8,41,0
27,QB,4,4,6,9,1,3,4,1.5,2.3,2
25,RB,8,0,6,30,0,1,16,5,3.8,0
30,FB,17,0,5,7,0,2,6,1.4,0.4,0
25,WR,17,16,5,58,0,2,28,11.6,3.4,1
22,WR,12,12,5,8,0,0,6,1.6,0.7,2
37,QB,3,0,5,-5,0,0,-1,-1,-1.7,1
22,QB,1,1,5,35,1,4,10,7,35,0
33,WR,10,5,5,45,0,4,15,9,4.5,0
34,QB,2,0,5,0,0,0,4,0,0,0
26,WR,17,17,5,11,0,0,5,2.2,0.6,1
22,WR,16,9,5,5,0,2,10,1,0.3,1
29,QB,2,0,5,-4,0,0,0,-0.8,-2,0
33,QB,3,0,5,70,0,5,32,14,23.3,2
25,RB,8,0,5,25,0,2,12,5,3.1,0
23,WR,15,1,5,30,0,0,19,6,2,5
28,QB,3,3,5,16,0,0,6,3.2,5.3,3
29,RB,17,0,4,20,0,2,7,5,1.2,0
29,QB,4,0,4,-4,0,0,-1,-1,-1,0
27,QB,2,2,4,5,0,0,4,1.3,2.5,1
22,WR,11,6,4,47,0,3,20,11.8,4.3,0
27,WR,5,1,4,15,0,0,6,3.8,3,0
29,FB,17,4,4,7,2,3,3,1.8,0.4,0
24,WR,8,5,4,31,2,3,25,7.8,3.9,1
29,WR,17,16,4,40,0,2,17,10,2.4,0
24,FB,15,2,4,8,0,2,3,2,0.5,0
23,WR,17,17,4,24,1,2,10,6,1.4,0
23,WR,15,14,4,40,0,4,14,10,2.7,0
26,RB,15,0,4,17,0,1,7,4.3,1.1,0
27,WR,16,15,4,18,0,1,14,4.5,1.1,0
26,WR,17,2,4,78,1,1,71,19.5,4.6,2
27,QB,4,0,4,8,0,1,4,2,2,0
25,FB,11,2,4,9,0,3,3,2.3,0.8,1
23,WR,17,0,4,25,0,1,17,6.3,1.5,4
22,WR,11,1,4,57,1,2,31,14.3,5.2,1
24,WR,12,6,4,57,1,2,44,14.3,4.8,1
31,QB,2,1,4,8,0,1,6,2,4,0
28,WR,16,1,4,15,0,0,9,3.8,0.9,2
25,WR,9,0,4,26,0,1,18,6.5,2.9,1
22,WR,17,12,4,4,0,0,7,1,0.2,2
30,WR,17,17,3,-1,0,0,4,-0.3,-0.1,1
30,QB,1,0,3,-1,0,1,2,-0.3,-1,0
27,TE,15,15,3,8,0,3,4,2.7,0.5,1
26,RB,1,0,3,8,0,0,5,2.7,8,0
30,QB,5,2,3,27,0,2,11,9,5.4,0
24,QB,2,1,3,-5,0,0,-1,-1.7,-2.5,1
37,QB,5,4,3,6,0,1,7,2,1.2,5
26,WR,15,13,3,5,0,0,2,1.7,0.3,2
28,RB,5,0,3,4,0,0,4,1.3,0.8,0
29,WR,16,7,3,3,0,0,3,1,0.2,0
22,WR,16,3,3,24,0,1,12,8,1.5,3
23,TE,17,8,3,2,0,0,6,0.7,0.1,0
25,WR,17,9,3,6,0,2,5,2,0.4,1
26,RB,4,0,3,4,0,0,4,1.3,1,0
21,WR,17,12,3,24,1,2,22,8,1.4,0
25,WR,16,16,3,30,0,2,19,10,1.9,2
22,WR,13,9,3,16,1,1,19,5.3,1.2,0
26,WR,17,0,3,17,0,1,11,5.7,1,3
24,WR,17,17,3,26,0,0,9,8.7,1.5,1
24,WR,17,8,3,1,0,0,4,0.3,0.1,1
24,WR,17,17,2,23,0,1,16,11.5,1.4,1
26,FB,13,4,2,0,0,0,1,0,0,0
28,QB,1,0,2,-2,0,0,-1,-1,-2,0
29,WR,17,7,2,-15,0,0,-5,-7.5,-0.9,3
27,TE,17,16,2,3,0,2,2,1.5,0.2,2
29,WR,13,13,2,7,0,0,5,3.5,0.5,0
26,P,17,0,2,-18,0,0,-8,-9,-1.1,1
22,WR,12,10,2,-7,0,0,3,-3.5,-0.6,0
25,WR,12,2,2,8,0,1,5,4,0.7,0
28,TE,17,14,2,13,0,1,13,6.5,0.8,0
25,WR,10,0,2,10,0,0,6,5,1,0
33,QB,3,2,2,8,0,0,8,4,2.7,0
25,P,17,0,2,-3,0,0,0,-1.5,-0.2,1
32,WR,13,2,2,5,0,0,7,2.5,0.4,0
23,WR,7,0,2,23,0,1,14,11.5,3.3,0
23,TE,17,0,2,27,0,2,21,13.5,1.6,0
25,WR,12,5,2,13,0,1,13,6.5,1.1,0
27,WR,17,4,2,6,0,0,4,3,0.4,3
29,RB,1,0,2,4,0,1,4,2,4,0
36,QB,2,0,2,3,0,0,4,1.5,1.5,0
33,TE,17,17,2,5,0,1,4,2.5,0.3,1
23,TE,17,17,2,9,0,1,8,4.5,0.5,1
27,WR,15,15,2,0,0,0,1,0,0,0
26,WR,14,13,2,-11,0,2,7,-5.5,-0.8,2
29,WR,1,0,2,-2,0,0,0,-1,-2,0
