G,W,L,W-L%,SRS,SOS,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
33,16,17,0.485,-0.28,1.42,2271,2327,1320,769,1896,0.406,249,788,0.316,484,704,0.688,403,1223,433,214,87,435,583
32,12,20,0.375,-6,-4.44,2211,2208,1285,821,1814,0.453,203,633,0.321,366,546,0.67,343,1122,390,195,99,420,491
31,9,22,0.29,-14.08,-6.74,2134,2235,1245,797,1800,0.443,162,493,0.329,378,593,0.637,288,1052,449,260,105,419,559
37,23,14,0.622,-1.48,-1.62,2909,2720,1505,1098,2487,0.441,318,927,0.343,395,599,0.659,503,1481,552,296,176,444,586
31,8,23,0.258,-10.99,-1.82,2239,2505,1250,803,1827,0.44,192,608,0.316,441,575,0.767,270,974,299,194,67,367,587
34,23,11,0.676,1.47,-1.62,2607,2429,1360,931,1901,0.49,300,837,0.358,445,589,0.756,305,1222,523,176,107,461,591
32,8,24,0.25,-12.84,-4.38,2094,2291,1280,762,1791,0.425,218,722,0.302,352,497,0.708,281,1079,389,196,69,395,515
32,5,27,0.156,-15.12,-1.53,1997,2432,1280,729,1839,0.396,199,618,0.322,340,540,0.63,252,1004,328,224,62,392,520
31,13,18,0.419,-6.97,-4.51,2012,2045,1255,690,1681,0.41,178,621,0.287,454,627,0.724,305,1045,296,170,114,367,472
37,21,16,0.568,-8.97,-9.83,2863,2744,1495,1045,2312,0.452,302,876,0.345,471,626,0.752,427,1271,545,295,74,425,696
33,16,17,0.485,10.9,8.26,2351,2264,1325,830,1904,0.436,220,701,0.314,471,657,0.717,278,1143,406,225,171,371,533
29,7,22,0.241,-17.8,-4.99,1700,2030,1165,595,1536,0.387,167,533,0.313,343,496,0.692,295,953,280,191,105,464,551
39,35,4,0.897,13.85,2.23,3035,2547,1570,1084,2326,0.466,375,1024,0.366,492,684,0.719,425,1519,562,252,100,460,613
32,17,15,0.531,-2.63,-3.08,2280,2222,1290,805,1844,0.437,295,832,0.355,375,507,0.74,301,1107,409,219,104,365,497
32,14,18,0.438,-2.78,0.26,2339,2404,1300,867,1861,0.466,219,671,0.326,386,541,0.713,275,1008,397,290,128,473,547
32,9,23,0.281,-0.38,6.5,2219,2439,1280,802,1840,0.436,209,633,0.33,406,559,0.726,278,1006,430,197,125,388,519
33,25,8,0.758,2.26,-2.13,2376,2231,1330,797,1901,0.419,252,792,0.318,530,715,0.741,356,1219,418,238,160,446,647
31,11,20,0.355,2.6,5.1,1974,2036,1240,720,1673,0.43,210,681,0.308,324,420,0.771,248,938,382,196,103,359,499
36,28,8,0.778,4.88,-2.91,2911,2563,1455,1016,2129,0.477,340,988,0.344,539,727,0.741,351,1262,600,238,115,397,604
31,15,16,0.484,-3.85,-4.64,2192,2032,1260,813,1741,0.467,196,583,0.336,370,592,0.625,310,1097,399,222,146,403,594
33,20,13,0.606,1.75,0.29,2268,2220,1330,800,1774,0.451,240,685,0.35,428,657,0.651,302,1180,452,152,103,453,568
32,16,16,0.5,-1.93,-0.61,2441,2455,1305,869,1849,0.47,228,710,0.321,475,644,0.738,284,1118,406,182,109,403,526
32,7,25,0.219,-1.07,7.52,2225,2500,1290,818,1934,0.423,185,599,0.309,404,563,0.718,345,1151,380,197,146,392,462
32,16,16,0.5,1.79,4.79,2193,2289,1285,728,1774,0.41,215,678,0.317,522,718,0.727,347,1145,358,202,85,423,513
33,17,16,0.515,-3.25,-2.02,2257,2201,1325,840,1926,0.436,207,659,0.314,370,539,0.686,325,1165,343,232,94,378,551
31,10,21,0.323,-6.79,-0.93,2068,2150,1245,745,1789,0.416,164,556,0.295,414,581,0.713,343,1070,342,179,111,400,528
33,15,18,0.455,2.09,4.89,2301,2335,1325,855,2019,0.423,259,773,0.335,332,477,0.696,349,1155,463,197,134,349,524
37,31,6,0.838,18.99,8.04,3187,2715,1485,1188,2282,0.521,279,737,0.379,532,768,0.693,383,1376,602,268,127,397,613
33,24,9,0.727,-4.03,-8.48,2276,2054,1325,811,1785,0.454,174,489,0.356,480,745,0.644,364,1196,405,242,136,475,624
36,24,12,0.667,4.42,1.27,2706,2421,1450,933,2018,0.462,323,843,0.383,517,722,0.716,364,1317,452,177,115,430,648
32,3,29,0.094,-20.29,-3.13,1898,2447,1285,656,1665,0.394,218,724,0.301,368,524,0.702,235,905,350,162,76,447,541
32,8,24,0.25,-15.25,-4.7,2183,2481,1285,759,1934,0.392,228,709,0.322,437,636,0.687,335,1098,352,138,101,354,587
28,5,23,0.179,-23.12,-7.96,1757,1991,1120,659,1543,0.427,206,620,0.332,233,362,0.644,255,886,364,179,105,403,395
28,14,14,0.5,-0.71,-2.02,1914,1858,1130,700,1593,0.439,184,596,0.309,330,493,0.669,299,1015,370,211,107,381,408
33,22,11,0.667,2.36,-2.18,2208,2039,1335,772,1799,0.429,220,667,0.33,444,594,0.747,320,1165,367,151,125,401,528
31,14,17,0.452,-9.88,-5.22,2312,2392,1241,813,1834,0.443,234,720,0.325,452,722,0.626,362,1179,383,203,152,438,573
35,25,10,0.714,4.96,-2.3,2619,2324,1415,1001,2084,0.48,303,826,0.367,314,425,0.739,271,1181,504,218,148,376,503
32,10,22,0.313,-14.26,-6.4,2136,2324,1285,812,1862,0.436,219,599,0.366,293,471,0.622,255,1040,398,203,89,387,514
37,33,4,0.892,22.2,4.79,2770,2126,1480,1010,2203,0.458,284,835,0.34,466,636,0.733,474,1441,544,293,182,370,618
32,10,22,0.313,-17.18,-6.94,2482,2658,1285,851,1863,0.457,265,726,0.365,515,717,0.718,330,1097,474,184,88,489,575
35,22,13,0.629,-5.04,-5.13,2634,2542,1405,934,2038,0.458,282,754,0.374,484,679,0.713,407,1252,523,252,109,573,614
32,10,22,0.313,-8.7,-3.86,2335,2332,1296,824,1747,0.472,217,638,0.34,470,617,0.762,222,979,381,164,57,362,539
32,11,21,0.344,-6.55,-2.95,2213,2272,1310,794,1785,0.445,245,725,0.338,380,517,0.735,259,1005,392,185,90,370,564
33,20,13,0.606,14.82,7.67,2452,2216,1335,874,1946,0.449,251,815,0.308,453,667,0.679,366,1248,409,229,186,426,559
32,11,21,0.344,-7.37,-3.37,2127,2255,1300,737,1699,0.434,232,690,0.336,421,531,0.793,280,1045,345,183,105,466,590
32,12,20,0.375,-8.83,-3.12,2149,2292,1290,747,1794,0.416,255,774,0.329,400,611,0.655,269,1037,421,206,150,410,560
31,12,19,0.387,-15.06,-8.27,2194,2290,1255,776,1756,0.442,194,557,0.348,448,600,0.747,284,976,382,259,88,425,532
35,23,12,0.657,14.96,8.9,2616,2404,1405,994,2044,0.486,200,544,0.368,428,602,0.711,321,1250,533,203,177,402,599
36,23,13,0.639,4.88,-4.01,2855,2507,1450,1008,2088,0.483,340,959,0.355,499,647,0.771,249,1245,570,235,69,434,587
