G,W,L,W-L%,SRS,SOS,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
32,18,14,0.563,-0.31,-1.74,2392,2274,1295,809,1820,0.445,214,630,0.34,560,790,0.709,377,1186,389,227,90,471,600
35,23,12,0.657,4.16,-0.6,2617,2352,1405,969,2082,0.465,247,656,0.377,432,600,0.72,341,1296,518,245,87,431,666
34,22,12,0.647,0.72,-0.34,2463,2352,1380,906,2047,0.443,284,784,0.362,367,526,0.698,390,1251,450,175,61,417,629
30,10,20,0.333,-6.94,-0.76,2057,2189,1230,740,1720,0.43,228,695,0.328,349,472,0.739,249,1004,359,174,67,362,482
35,27,8,0.771,3.3,-2.03,2510,2305,1405,924,1875,0.493,194,555,0.35,468,644,0.727,279,1113,495,222,87,397,562
37,31,6,0.838,22.11,8.65,2743,2245,1480,1033,2245,0.46,227,651,0.349,450,616,0.731,418,1307,538,310,142,371,573
35,27,8,0.771,-1.74,-4.35,2604,2418,1420,897,1890,0.475,274,707,0.388,536,772,0.694,295,1219,446,221,140,496,542
32,20,12,0.625,1.66,-2.91,2306,2064,1291,816,1831,0.446,254,718,0.354,420,587,0.716,330,1180,465,228,83,376,535
34,24,10,0.706,-1.18,-3.05,2343,2187,1375,813,1832,0.444,209,624,0.335,508,697,0.729,324,1130,365,230,95,408,624
32,11,21,0.344,-4.99,2.12,2125,2190,1285,772,1863,0.414,207,643,0.322,374,570,0.656,407,1148,432,204,96,443,619
32,17,15,0.531,11.33,6.52,2197,2043,1285,791,1852,0.427,232,698,0.332,383,541,0.708,357,1254,462,161,126,384,487
35,26,9,0.743,14.22,6.81,2736,2446,1405,947,1975,0.479,325,840,0.387,517,678,0.763,300,1243,585,175,117,426,589
33,14,19,0.424,-0.17,1,2495,2420,1330,828,1802,0.459,285,749,0.381,554,787,0.704,321,1125,434,219,74,497,647
37,28,9,0.757,8.47,1.82,2863,2538,1500,1022,2200,0.465,242,728,0.332,577,780,0.74,377,1492,594,239,242,509,646
32,14,18,0.438,-0.81,1.75,2192,2192,1315,796,1776,0.448,158,537,0.294,442,699,0.632,373,1122,385,288,85,505,576
32,10,22,0.313,-7.81,1.09,2217,2450,1291,749,1826,0.41,235,703,0.334,484,659,0.734,341,1132,334,137,81,439,563
32,11,21,0.344,-8.69,-2.73,2206,2355,1310,814,1852,0.44,198,668,0.296,380,522,0.728,251,1087,436,187,83,406,530
37,22,15,0.595,8.96,8.53,2661,2645,1490,930,2187,0.425,310,922,0.336,491,690,0.712,417,1340,429,187,168,399,604
34,23,11,0.676,1.65,-3.11,2471,2276,1377,901,1901,0.474,292,816,0.358,377,541,0.697,220,1065,465,200,98,318,504
34,17,17,0.5,10.61,8.7,2366,2301,1365,807,1853,0.436,296,885,0.334,456,556,0.82,246,1078,377,194,58,343,538
33,25,8,0.758,13.28,5.98,2237,1996,1325,793,1765,0.449,220,629,0.35,431,613,0.703,273,1064,519,225,142,282,471
35,27,8,0.771,9.9,1.95,2480,2202,1400,864,1867,0.463,212,610,0.348,540,776,0.696,324,1161,456,311,160,468,575
32,7,25,0.219,-16.14,-3.45,2220,2457,1290,800,1923,0.416,309,880,0.351,311,406,0.766,349,1131,365,172,37,411,484
34,19,15,0.559,9.36,5.3,2521,2383,1365,931,1983,0.469,281,786,0.358,378,514,0.735,288,1131,528,177,107,336,526
28,15,13,0.536,-11.81,-10.85,1766,1727,1130,655,1627,0.403,181,583,0.31,275,403,0.682,360,1005,339,189,49,335,540
