Conference,Games Played,Completions,Attempts,Cmp %,Yards,Yards/Att,AvgYds/Att,Touchdowns,Interceptions,Passer Rating
SEC,9,115,198,58.1,1274,6.4,7,10,2,126.8
MAC,12,179,321,55.8,1988,6.2,6.4,15,5,120.1
Big Ten,12,157,281,55.9,1725,6.1,5.7,5,5,109.8
Sun Belt,12,275,442,62.2,2653,6,5.8,19,10,122.3
MAC,10,108,218,49.5,1299,6,5.9,11,5,111.7
Pac-12,9,90,203,44.3,1220,6,4.9,7,8,98.3
MWC,12,221,400,55.3,2348,5.9,5.4,13,10,110.3
MWC,12,133,251,53,1466,5.8,5.3,5,5,104.6
MAC,12,286,480,59.6,2719,5.7,5.1,18,14,113.7
MWC,12,144,275,52.4,1574,5.7,5,10,9,105.9
CUSA,11,210,358,58.7,1969,5.5,4.7,11,11,108.9
Ind,13,149,258,57.8,1411,5.5,4.4,9,10,107.5
Big Ten,10,235,426,55.2,2312,5.4,5,13,10,106.1
