Rk,Year,Conf,W,L,T,Pct,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
50,1973,SEC,8,4,0,.667,3,3,0,.500,11.31,6.97,9,8,19,Bill Battle (8-4),Gator Bowl (L),
51,1972,SEC,10,2,0,.833,4,2,0,.667,20.53,7.45,15,4,8,Bill Battle (10-2),Bluebonnet Bowl (W),
52,1971,SEC,10,2,0,.833,4,2,0,.667,16.33,6.16,8,8,9,Bill Battle (10-2),Liberty Bowl (W),
53,1970,SEC,11,1,0,.917,4,1,0,.800,24.70,8.11,,4,4,Bill Battle (11-1),Sugar Bowl (W),
54,1969,SEC,9,2,0,.818,5,1,0,.833,19.04,7.04,15,3,15,Doug Dickey (9-2),Gator Bowl (L),
55,1968,SEC,8,2,1,.773,4,1,1,.750,16.91,8.73,9,5,13,Doug Dickey (8-2-1),Cotton Bowl (L),
56,1967,SEC,9,2,0,.818,6,0,0,1.000,18.14,7.14,9,2,2,Doug Dickey (9-2),Orange Bowl (L),
57,1966,SEC,8,3,0,.727,3,2,0,.600,16.18,5.54,10,8,,Doug Dickey (8-3),Gator Bowl (W),
58,1965,SEC,8,1,2,.818,2,1,2,.600,22.37,11.46,,7,7,Doug Dickey (8-1-2),Bluebonnet Bowl (W),
59,1964,SEC,4,5,1,.450,1,5,1,.214,3.42,6.12,,,,Doug Dickey (4-5-1),,
60,1963,SEC,5,5,0,.500,3,5,0,.375,8.58,5.48,,,,Jim McDonald (5-5),,
61,1962,SEC,4,6,0,.400,2,6,0,.250,3.67,2.47,,,,Bowden Wyatt (4-6),,
62,1961,SEC,6,4,0,.600,4,3,0,.571,10.41,6.41,,,,Bowden Wyatt (6-4),,
63,1960,SEC,6,2,2,.700,3,2,2,.571,11.64,3.94,18,8,,Bowden Wyatt (6-2-2),,
64,1959,SEC,5,4,1,.550,3,4,1,.438,9.17,8.17,,8,,Bowden Wyatt (5-4-1),,
65,1958,SEC,4,6,0,.400,4,3,0,.571,1.97,5.77,,,,Bowden Wyatt (4-6),,
66,1957,SEC,8,3,0,.727,4,3,0,.571,15.18,7.54,5,5,13,Bowden Wyatt (8-3),Gator Bowl (W),
67,1956,SEC,10,1,0,.909,6,0,0,1.000,23.26,6.90,12,1,2,Bowden Wyatt (10-1),Sugar Bowl (L),
68,1955,SEC,6,3,1,.650,3,2,1,.583,7.79,2.09,,17,,Bowden Wyatt (6-3-1),,
69,1954,SEC,4,6,0,.400,1,5,0,.167,-4.44,1.96,,,,Harvey Robinson (4-6),,
70,1953,SEC,6,4,1,.591,3,2,1,.583,5.79,1.07,17,17,,Harvey Robinson (6-4-1),,
71,1952,SEC,8,2,1,.773,5,0,1,.917,16.10,4.37,6,6,8,Bob Neyland (8-2-1),Cotton Bowl (L),
72,1951,SEC,10,1,0,.909,5,0,0,1.000,20.39,3.21,1,1,1,Bob Neyland (10-1),Sugar Bowl (L),
73,1950,SEC,11,1,0,.917,4,1,0,.800,17.11,2.28,4,4,4,Bob Neyland (11-1),Cotton Bowl (W),
74,1949,SEC,7,2,1,.750,4,1,1,.750,9.42,0.52,,14,17,Bob Neyland (7-2-1),,
75,1948,SEC,4,4,2,.500,2,3,1,.417,10.89,8.99,,18,,Bob Neyland (4-4-2),,
76,1947,SEC,5,5,0,.500,2,3,0,.400,6.69,6.99,,,,Bob Neyland (5-5),,
77,1946,SEC,9,2,0,.818,5,0,0,1.000,19.97,12.97,,4,7,Bob Neyland (9-2),Orange Bowl (L),
78,1945,SEC,8,1,0,.889,3,1,0,.750,18.59,3.37,,14,14,John Barnhill (8-1),,
79,1944,SEC,7,1,1,.833,5,0,1,.917,12.26,2.82,,10,12,John Barnhill (7-1-1),Rose Bowl (L),
80,1942,SEC,9,1,1,.864,4,1,0,.800,17.46,2.28,,7,7,John Barnhill (9-1-1),Sugar Bowl (W),
81,1941,SEC,8,2,0,.800,3,1,0,.750,10.40,-0.10,,18,18,John Barnhill (8-2),,
82,1940,SEC,10,1,0,.909,5,0,0,1.000,19.06,0.97,,4,4,Bob Neyland (10-1),Sugar Bowl (L),
83,1939,SEC,10,1,0,.909,6,0,0,1.000,15.24,-0.03,,1,2,Bob Neyland (10-1),Rose Bowl (L),
84,1938,SEC,11,0,0,1.000,7,0,0,1.000,20.24,2.88,,2,2,Bob Neyland (11-0),Orange Bowl (W),
85,1937,SEC,6,3,1,.650,4,3,0,.571,16.35,5.75,,15,,Bob Neyland (6-3-1),,
86,1936,SEC,6,2,2,.700,3,1,2,.667,12.53,5.23,,17,17,Bob Neyland (6-2-2),,
87,1935,SEC,4,5,0,.444,2,3,0,.400,3.26,8.48,,,,W.H. Britton (4-5),,
88,1934,SEC,8,2,0,.800,5,1,0,.833,16.61,6.51,,,,Bob Neyland (8-2),,
89,1933,SEC,7,3,0,.700,5,2,0,.714,17.29,5.89,,,,Bob Neyland (7-3),,
90,1932,Southern,9,0,1,.950,7,0,1,.938,15.86,0.36,,,,Bob Neyland (9-0-1),,
91,1931,Southern,9,0,1,.950,6,0,1,.929,19.21,1.51,,,,Bob Neyland (9-0-1),,
92,1930,Southern,9,1,0,.900,6,1,0,.857,16.97,3.27,,,,Bob Neyland (9-1),,
93,1929,Southern,9,0,1,.950,6,0,1,.929,16.16,-2.24,,,,Bob Neyland (9-0-1),,
94,1928,Southern,9,0,1,.950,6,0,1,.929,15.96,1.66,,,,Bob Neyland (9-0-1),,
95,1927,Southern,8,0,1,.944,5,0,1,.917,14.10,-3.34,,,,Bob Neyland (8-0-1),,
96,1926,Southern,8,1,0,.889,5,1,0,.833,9.97,-1.14,,,,Bob Neyland (8-1),,
97,1925,Southern,5,2,1,.688,2,2,1,.500,2.60,-1.40,,,,Mark Banks (5-2-1),,
98,1924,Southern,3,5,0,.375,0,4,0,.000,-3.62,1.39,,,,Mark Banks (3-5),,
99,1923,Southern,5,4,1,.550,4,2,0,.667,-1.82,1.78,,,,Mark Banks (5-4-1),,
100,1922,Southern,8,2,0,.800,4,2,0,.667,12.02,-1.48,,,,Mark Banks (8-2),,
101,1921,Southern,6,2,1,.722,1,0,1,.750,11.38,4.27,,,,Mark Banks (6-2-1),,
102,1920,Ind,7,2,0,.778,,,,,10.95,-2.38,,,,John Bender (7-2),,
